DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
2988,14.935,NaN,NaN,82.77835,-1504.93152,NaN,NaN,67.31612,-1539.13635,204.79616,-1254.51611,185.11166,-1229.43347,292.80371,-1281.88733
2989,14.94,NaN,NaN,82.45639,-1503.70129,NaN,NaN,67.1028,-1538.02014,205.99391,-1254.39258,186.3295,-1229.36047,293.83237,-1281.95068
2990,14.945,NaN,NaN,82.46827,-1502.7207,NaN,NaN,66.89155,-1536.89294,207.18747,-1254.23718,187.68057,-1229.10339,294.8924,-1282.21509
2991,14.95,NaN,NaN,82.41288,-1501.93237,NaN,NaN,66.60558,-1535.67932,208.34558,-1254.05981,188.61899,-1228.71509,295.99228,-1282.51611
2992,14.955,NaN,NaN,82.67852,-1501.02234,NaN,NaN,66.38306,-1534.41467,209.56393,-1253.82947,189.79362,-1228.39941,296.80624,-1282.66907
2993,14.96,NaN,NaN,82.26966,-1499.71741,NaN,NaN,66.16987,-1533.3092,210.70143,-1253.599,190.64073,-1227.52563,297.88245,-1283.08594
2994,14.965,NaN,NaN,82.40265,-1498.69128,NaN,NaN,65.96277,-1532.06824,211.82372,-1253.41479,191.90529,-1227.25635,298.80804,-1283.19299
2995,14.97,NaN,NaN,82.33208,-1497.62976,NaN,NaN,65.4749,-1530.75232,212.98213,-1253.1886,193.08031,-1226.87512,299.81509,-1283.35339
2996,14.975,NaN,NaN,82.21087,-1496.20813,NaN,NaN,65.36102,-1529.67957,214.10878,-1252.92871,193.95921,-1226.62231,300.85367,-1283.54407
2997,14.98,NaN,NaN,82.00243,-1495.05518,NaN,NaN,65.04364,-1528.36853,215.21109,-1252.72144,195.33841,-1226.34851,301.57101,-1283.41687
2998,14.985,NaN,NaN,81.59299,-1493.69324,NaN,NaN,64.76893,-1527.12,216.28496,-1252.49805,196.38655,-1225.99133,302.36993,-1283.45837
2999,14.99,NaN,NaN,81.81786,-1492.99011,NaN,NaN,64.54218,-1525.90515,217.29047,-1252.16956,197.49167,-1225.44153,303.4993,-1283.8429
3000,14.995,NaN,NaN,81.63087,-1491.93225,NaN,NaN,63.68497,-1524.35803,218.26328,-1251.88977,198.90419,-1224.80774,304.1311,-1283.79639
3001,15,NaN,NaN,81.57623,-1490.47327,NaN,NaN,63.50402,-1522.92944,219.21846,-1251.66431,199.87459,-1224.33276,304.80493,-1283.88147
3002,15.005,NaN,NaN,81.54018,-1489.26331,NaN,NaN,63.28669,-1521.86719,220.12009,-1251.39258,200.82167,-1223.8324,305.42191,-1283.8186
3003,15.01,NaN,NaN,81.50024,-1488.25244,NaN,NaN,63.12013,-1520.68457,220.97667,-1251.15088,201.79784,-1223.42212,306.35809,-1284.01965
3004,15.015,NaN,NaN,81.52801,-1487.19702,NaN,NaN,62.94198,-1519.46436,221.75572,-1250.68408,202.81244,-1223.02539,307.31955,-1284.14697
3005,15.02,NaN,NaN,81.54913,-1486.13196,NaN,NaN,62.84184,-1518.29736,222.61128,-1250.54614,203.69812,-1222.59485,307.9621,-1284.16626
3006,15.025,NaN,NaN,81.51746,-1485.14404,NaN,NaN,62.57284,-1517.30652,223.27187,-1250.24719,204.47824,-1222.19849,308.50671,-1284.14502
3007,15.03,NaN,NaN,81.41466,-1483.84277,NaN,NaN,62.16811,-1515.94885,224.06102,-1250.03015,205.29858,-1221.74377,309.22559,-1284.30725
3008,15.035,NaN,NaN,81.50654,-1482.8606,NaN,NaN,61.84806,-1514.39868,224.57904,-1249.64819,206.20267,-1221.49915,309.65747,-1284.25488
3009,15.04,NaN,NaN,81.51449,-1481.87732,NaN,NaN,61.70239,-1513.44104,225.3764,-1249.38647,206.88438,-1221.16772,310.16367,-1284.20105
3010,15.045,NaN,NaN,81.38295,-1480.49414,NaN,NaN,61.20528,-1499.16248,225.99017,-1249.14575,207.48665,-1220.88879,310.61615,-1284.10669
