Frame,Time,Drone_Angle,Speaker_Angle
599,3.987,88.42654716,34.56032697
600,3.993,88.8391194,34.57557682
601,4,88.87767755,34.58402867
602,4.007,88.83137798,34.61039928
603,4.013,88.65012629,34.65302558
604,4.02,88.75131904,34.72546092
605,4.027,88.77331412,34.79456383
606,4.033,88.73939412,34.82475839
607,4.04,88.53357724,34.87170483
608,4.047,88.68502476,34.90275944
609,4.053,88.85300509,34.94131624
610,4.06,88.96525296,34.94734081
611,4.067,88.68613468,34.86567692
612,4.073,88.74947499,34.97747662
613,4.08,88.87976554,34.9686301
614,4.087,88.78268038,34.97333776
615,4.093,88.6671209,34.95510581
616,4.1,88.65457056,34.93693466
617,4.107,88.85322627,34.87404516
618,4.113,88.75543396,34.82404993
619,4.12,88.58242444,34.81530081
620,4.127,88.4008315,34.72748699
621,4.133,88.6036689,34.66825963
622,4.14,88.6212911,34.63127523
623,4.147,88.55453775,34.59658767
624,4.153,88.55807563,34.54954813
625,4.16,88.75144704,34.48707334
626,4.167,88.80074357,34.39206384
627,4.173,88.52892789,34.40338896
628,4.18,88.55728032,34.37698122
629,4.187,88.75483267,34.36148902
630,4.193,88.68689882,34.30386034
631,4.2,88.40754374,34.25230221
632,4.207,88.54551475,34.21411614
633,4.213,88.59522089,34.1595558
634,4.22,88.60471369,34.12338628
635,4.227,88.38043792,34.08304676
636,4.233,88.6001378,34.04589177
637,4.24,88.59462524,34.01865397
638,4.247,88.53096291,33.97925228
639,4.253,88.38340259,33.95856275
640,4.26,88.57250635,33.91202172
641,4.267,88.58803805,33.87492681
642,4.273,88.3684272,33.82310215
643,4.28,88.39815589,33.7317659
644,4.287,88.22192219,33.82527721
645,4.293,88.37225458,33.78422411
646,4.3,88.18325921,33.74981457
647,4.307,88.24373261,33.69567646
648,4.313,88.48639289,33.62168055
649,4.32,88.48369183,33.53414153
650,4.327,88.23019776,33.47394913
651,4.333,88.3254508,33.3657397
652,4.34,88.37349972,33.29994714
653,4.347,88.2646312,33.30692333
654,4.353,88.19775761,33.22607385
655,4.36,88.22138113,33.16160698
656,4.367,88.24915366,33.1220969
657,4.373,88.21029559,33.0675056
658,4.38,88.13106367,33.04660963
659,4.387,88.24307717,32.96083724
660,4.393,88.17512856,32.90781091
661,4.4,87.98721349,32.88364749
662,4.407,88.0485953,32.83638386
663,4.413,88.1466915,32.7500756
664,4.42,87.85377254,32.69851803
665,4.427,87.92162904,32.67189976
666,4.433,87.99860749,32.62675023
667,4.44,87.77455983,32.58342777
668,4.447,87.85437104,32.54503862
669,4.453,87.85366282,32.51537366
670,4.46,87.72795916,32.48966683
671,4.467,87.69909607,32.47947917
672,4.473,87.9287468,32.45776883
673,4.48,87.92364234,32.46214551
674,4.487,87.71246034,32.39730556
675,4.493,88.01637767,32.37431783
676,4.5,87.93681885,32.35213228
677,4.507,87.66331624,32.32491479
678,4.513,87.78259563,32.30446463
679,4.52,87.71433598,32.27831096
680,4.527,87.60349628,32.29302541
681,4.533,87.69932453,32.26847224
682,4.54,87.66176339,32.25219322
683,4.547,87.45225932,32.2279633
